Area Name,Year,Variable,Value
Duplin County,2014,Federal Outdoor Recreation Acreage,0
Buncombe County,2014,Federal Outdoor Recreation Acreage,42391
Lee County,2014,Local Outdoor Recreation Acreage,358
Rockingham County,2014,Local Outdoor Recreation Acreage,1306
Wake County,2014,Federal Outdoor Recreation Acreage,24646
Ashe County,2014,Federal Outdoor Recreation Acreage,2077
Watauga County,2014,Federal Outdoor Recreation Acreage,10226
Brunswick County,2014,State Outdoor Recreation Acreage,36382
Durham County,2014,Local Outdoor Recreation Acreage,1850
Franklin County,2014,Federal Outdoor Recreation Acreage,0
Hoke County,2014,State Outdoor Recreation Acreage,3314
Transylvania County,2014,Local Outdoor Recreation Acreage,107
Mitchell County,2014,Federal Outdoor Recreation Acreage,19709
Madison County,2014,Local Outdoor Recreation Acreage,27
Dare County,2014,Local Outdoor Recreation Acreage,639
Madison County,2014,Federal Outdoor Recreation Acreage,55084
Moore County,2014,State Outdoor Recreation Acreage,7311
Randolph County,2014,Local Outdoor Recreation Acreage,1969
Cleveland County,2014,Federal Outdoor Recreation Acreage,0
Warren County,2014,Local Outdoor Recreation Acreage,119
Cherokee County,2014,State Outdoor Recreation Acreage,0
Stokes County,2014,State Outdoor Recreation Acreage,6991
Wilson County,2014,Local Outdoor Recreation Acreage,573
Pender County,2014,State Outdoor Recreation Acreage,98614
Beaufort County,2014,State Outdoor Recreation Acreage,8356
Alleghany County,2014,State Outdoor Recreation Acreage,5927
Martin County,2014,State Outdoor Recreation Acreage,9898
Vance County,2014,Federal Outdoor Recreation Acreage,23502
Yadkin County,2014,State Outdoor Recreation Acreage,413
Currituck County,2014,Local Outdoor Recreation Acreage,105
Montgomery County,2014,Federal Outdoor Recreation Acreage,41616
Warren County,2014,State Outdoor Recreation Acreage,12535
Lincoln County,2014,Local Outdoor Recreation Acreage,387
Wake County,2014,Local Outdoor Recreation Acreage,12665
Alexander County,2014,Federal Outdoor Recreation Acreage,0
Iredell County,2014,Local Outdoor Recreation Acreage,1029
Henderson County,2014,Local Outdoor Recreation Acreage,513
Camden County,2014,State Outdoor Recreation Acreage,22520
Caswell County,2014,State Outdoor Recreation Acreage,16455
Randolph County,2014,Federal Outdoor Recreation Acreage,14660
Warren County,2014,Federal Outdoor Recreation Acreage,2018
Edgecombe County,2014,Federal Outdoor Recreation Acreage,0
Rockingham County,2014,Federal Outdoor Recreation Acreage,0
Orange County,2014,State Outdoor Recreation Acreage,4285
Wilkes County,2014,Federal Outdoor Recreation Acreage,10531
Pasquotank County,2014,State Outdoor Recreation Acreage,0
Scotland County,2014,State Outdoor Recreation Acreage,25636
Halifax County,2014,Local Outdoor Recreation Acreage,133
Northampton County,2014,Federal Outdoor Recreation Acreage,0
Rowan County,2014,Local Outdoor Recreation Acreage,1288
Wayne County,2014,State Outdoor Recreation Acreage,3405
Pender County,2014,Local Outdoor Recreation Acreage,148
Burke County,2014,State Outdoor Recreation Acreage,30592
Davie County,2014,Federal Outdoor Recreation Acreage,0
Mecklenburg County,2014,Federal Outdoor Recreation Acreage,0
Nash County,2014,Federal Outdoor Recreation Acreage,0
Tyrrell County,2014,Local Outdoor Recreation Acreage,12
Forsyth County,2014,Local Outdoor Recreation Acreage,7137
Pamlico County,2014,Federal Outdoor Recreation Acreage,208
Lenoir County,2014,Federal Outdoor Recreation Acreage,0
Lincoln County,2014,State Outdoor Recreation Acreage,0
Montgomery County,2014,Local Outdoor Recreation Acreage,71
Gates County,2014,State Outdoor Recreation Acreage,23846
New Hanover County,2014,State Outdoor Recreation Acreage,8709
McDowell County,2014,Federal Outdoor Recreation Acreage,71826
Granville County,2014,Local Outdoor Recreation Acreage,204
Lee County,2014,Federal Outdoor Recreation Acreage,0
Swain County,2014,State Outdoor Recreation Acreage,3111
Bertie County,2014,State Outdoor Recreation Acreage,9665
Johnston County,2014,Federal Outdoor Recreation Acreage,0
Hyde County,2014,Federal Outdoor Recreation Acreage,135105
Beaufort County,2014,Federal Outdoor Recreation Acreage,2801
Caldwell County,2014,Federal Outdoor Recreation Acreage,46539
Pitt County,2014,State Outdoor Recreation Acreage,1274
Sampson County,2014,Federal Outdoor Recreation Acreage,0
Cabarrus County,2014,Federal Outdoor Recreation Acreage,0
Surry County,2014,State Outdoor Recreation Acreage,3373
Gates County,2014,Federal Outdoor Recreation Acreage,14152
Cabarrus County,2014,State Outdoor Recreation Acreage,1623
Martin County,2014,Federal Outdoor Recreation Acreage,0
Northampton County,2014,Local Outdoor Recreation Acreage,26
Davidson County,2014,Local Outdoor Recreation Acreage,600
Yancey County,2014,State Outdoor Recreation Acreage,1713
Onslow County,2014,State Outdoor Recreation Acreage,9360
Washington County,2014,State Outdoor Recreation Acreage,44846
Hoke County,2014,Federal Outdoor Recreation Acreage,89500
Beaufort County,2014,Local Outdoor Recreation Acreage,196
Durham County,2014,Federal Outdoor Recreation Acreage,19790
McDowell County,2014,State Outdoor Recreation Acreage,2514
Stanly County,2014,Federal Outdoor Recreation Acreage,0
Granville County,2014,Federal Outdoor Recreation Acreage,10438
Brunswick County,2014,Local Outdoor Recreation Acreage,2156
Perquimans County,2014,Federal Outdoor Recreation Acreage,1363
Yadkin County,2014,Federal Outdoor Recreation Acreage,0
Cumberland County,2014,Federal Outdoor Recreation Acreage,46993
Clay County,2014,Federal Outdoor Recreation Acreage,73159
Davidson County,2014,State Outdoor Recreation Acreage,302
Lee County,2014,State Outdoor Recreation Acreage,777
Buncombe County,2014,Local Outdoor Recreation Acreage,1916
Macon County,2014,Local Outdoor Recreation Acreage,186
Gaston County,2014,State Outdoor Recreation Acreage,3511
Madison County,2014,State Outdoor Recreation Acreage,578
Haywood County,2014,Federal Outdoor Recreation Acreage,160783
Graham County,2014,Local Outdoor Recreation Acreage,5
Robeson County,2014,State Outdoor Recreation Acreage,7366
Washington County,2014,Federal Outdoor Recreation Acreage,17960
Chowan County,2014,Federal Outdoor Recreation Acreage,66
Scotland County,2014,Federal Outdoor Recreation Acreage,4522
Pasquotank County,2014,Federal Outdoor Recreation Acreage,4371
Perquimans County,2014,State Outdoor Recreation Acreage,50
Scotland County,2014,Local Outdoor Recreation Acreage,155
Craven County,2014,Federal Outdoor Recreation Acreage,90639
Caldwell County,2014,State Outdoor Recreation Acreage,7513
Columbus County,2014,Federal Outdoor Recreation Acreage,0
Camden County,2014,Local Outdoor Recreation Acreage,7
Anson County,2014,State Outdoor Recreation Acreage,6
Henderson County,2014,Federal Outdoor Recreation Acreage,19552
Carteret County,2014,Local Outdoor Recreation Acreage,356
Davie County,2014,State Outdoor Recreation Acreage,17
Jones County,2014,Federal Outdoor Recreation Acreage,49792
New Hanover County,2014,Local Outdoor Recreation Acreage,1666
Sampson County,2014,Local Outdoor Recreation Acreage,196
Rockingham County,2014,State Outdoor Recreation Acreage,3252
Wake County,2014,State Outdoor Recreation Acreage,9188
Alamance County,2014,Local Outdoor Recreation Acreage,2376
Haywood County,2014,State Outdoor Recreation Acreage,3712
Swain County,2014,Local Outdoor Recreation Acreage,92
Richmond County,2014,State Outdoor Recreation Acreage,36859
Alexander County,2014,State Outdoor Recreation Acreage,0
Guilford County,2014,Federal Outdoor Recreation Acreage,227
Duplin County,2014,State Outdoor Recreation Acreage,6903
Haywood County,2014,Local Outdoor Recreation Acreage,80
Wilson County,2014,Federal Outdoor Recreation Acreage,0
Alamance County,2014,Federal Outdoor Recreation Acreage,0
Bladen County,2014,State Outdoor Recreation Acreage,51680
Washington County,2014,Local Outdoor Recreation Acreage,33
Person County,2014,Local Outdoor Recreation Acreage,250
Randolph County,2014,State Outdoor Recreation Acreage,2227
Yancey County,2014,Federal Outdoor Recreation Acreage,39453
Iredell County,2014,Federal Outdoor Recreation Acreage,0
Cleveland County,2014,State Outdoor Recreation Acreage,4274
Durham County,2014,State Outdoor Recreation Acreage,7654
Orange County,2014,Local Outdoor Recreation Acreage,1922
Greene County,2014,Federal Outdoor Recreation Acreage,0
Greene County,2014,State Outdoor Recreation Acreage,0
Pamlico County,2014,State Outdoor Recreation Acreage,4908
Robeson County,2014,Local Outdoor Recreation Acreage,714
Alamance County,2014,State Outdoor Recreation Acreage,336
Tyrrell County,2014,State Outdoor Recreation Acreage,40139
Ashe County,2014,State Outdoor Recreation Acreage,9131
Lincoln County,2014,Federal Outdoor Recreation Acreage,0
Surry County,2014,Local Outdoor Recreation Acreage,432
Transylvania County,2014,State Outdoor Recreation Acreage,16890
Bladen County,2014,Federal Outdoor Recreation Acreage,0
Chatham County,2014,State Outdoor Recreation Acreage,2364
Franklin County,2014,Local Outdoor Recreation Acreage,148
Halifax County,2014,State Outdoor Recreation Acreage,24228
Guilford County,2014,Local Outdoor Recreation Acreage,12568
Macon County,2014,Federal Outdoor Recreation Acreage,160335
Caldwell County,2014,Local Outdoor Recreation Acreage,889
Union County,2014,Federal Outdoor Recreation Acreage,0
Pitt County,2014,Local Outdoor Recreation Acreage,1564
Cleveland County,2014,Local Outdoor Recreation Acreage,2110
Mitchell County,2014,Local Outdoor Recreation Acreage,30
Dare County,2014,State Outdoor Recreation Acreage,6229
Hertford County,2014,State Outdoor Recreation Acreage,9144
Alexander County,2014,Local Outdoor Recreation Acreage,376
New Hanover County,2014,Federal Outdoor Recreation Acreage,270
Transylvania County,2014,Federal Outdoor Recreation Acreage,91577
Forsyth County,2014,State Outdoor Recreation Acreage,201
Hertford County,2014,Federal Outdoor Recreation Acreage,0
Polk County,2014,State Outdoor Recreation Acreage,12238
Jackson County,2014,Local Outdoor Recreation Acreage,1262
Anson County,2014,Local Outdoor Recreation Acreage,236
Avery County,2014,Federal Outdoor Recreation Acreage,32494
Rowan County,2014,State Outdoor Recreation Acreage,2166
Rowan County,2014,Federal Outdoor Recreation Acreage,0
Dare County,2014,Federal Outdoor Recreation Acreage,197099
Wilkes County,2014,Local Outdoor Recreation Acreage,399
Swain County,2014,Federal Outdoor Recreation Acreage,241813
Ashe County,2014,Local Outdoor Recreation Acreage,102
Stanly County,2014,Local Outdoor Recreation Acreage,685
Bladen County,2014,Local Outdoor Recreation Acreage,116
Craven County,2014,Local Outdoor Recreation Acreage,790
Tyrrell County,2014,Federal Outdoor Recreation Acreage,58420
Forsyth County,2014,Federal Outdoor Recreation Acreage,0
Moore County,2014,Local Outdoor Recreation Acreage,978
Burke County,2014,Federal Outdoor Recreation Acreage,62563
Yadkin County,2014,Local Outdoor Recreation Acreage,252
Bertie County,2014,Local Outdoor Recreation Acreage,27
Robeson County,2014,Federal Outdoor Recreation Acreage,0
Harnett County,2014,State Outdoor Recreation Acreage,5352
Craven County,2014,State Outdoor Recreation Acreage,7720
Edgecombe County,2014,Local Outdoor Recreation Acreage,485
Davidson County,2014,Federal Outdoor Recreation Acreage,962
Rutherford County,2014,State Outdoor Recreation Acreage,20428
Johnston County,2014,State Outdoor Recreation Acreage,5091
Alleghany County,2014,Federal Outdoor Recreation Acreage,5631
Camden County,2014,Federal Outdoor Recreation Acreage,10284
Greene County,2014,Local Outdoor Recreation Acreage,33
Harnett County,2014,Local Outdoor Recreation Acreage,1335
Nash County,2014,State Outdoor Recreation Acreage,1139
Stokes County,2014,Federal Outdoor Recreation Acreage,0
Duplin County,2014,Local Outdoor Recreation Acreage,194
Columbus County,2014,State Outdoor Recreation Acreage,27126
Surry County,2014,Federal Outdoor Recreation Acreage,836
Wilson County,2014,State Outdoor Recreation Acreage,89
Pamlico County,2014,Local Outdoor Recreation Acreage,169
Catawba County,2014,State Outdoor Recreation Acreage,47
Chatham County,2014,Federal Outdoor Recreation Acreage,44014
Anson County,2014,Federal Outdoor Recreation Acreage,7635
Montgomery County,2014,State Outdoor Recreation Acreage,1015
Graham County,2014,State Outdoor Recreation Acreage,229
Richmond County,2014,Federal Outdoor Recreation Acreage,3493
Graham County,2014,Federal Outdoor Recreation Acreage,131917
Mitchell County,2014,State Outdoor Recreation Acreage,1428
Cherokee County,2014,Local Outdoor Recreation Acreage,150
Watauga County,2014,State Outdoor Recreation Acreage,4656
Cumberland County,2014,State Outdoor Recreation Acreage,12205
Gates County,2014,Local Outdoor Recreation Acreage,7
McDowell County,2014,Local Outdoor Recreation Acreage,114
Union County,2014,Local Outdoor Recreation Acreage,2179
Halifax County,2014,Federal Outdoor Recreation Acreage,0
Hyde County,2014,Local Outdoor Recreation Acreage,11
Rutherford County,2014,Federal Outdoor Recreation Acreage,0
Caswell County,2014,Local Outdoor Recreation Acreage,16
Columbus County,2014,Local Outdoor Recreation Acreage,282
Pender County,2014,Federal Outdoor Recreation Acreage,99
Brunswick County,2014,Federal Outdoor Recreation Acreage,9955
Catawba County,2014,Local Outdoor Recreation Acreage,1997
Avery County,2014,Local Outdoor Recreation Acreage,74
Edgecombe County,2014,State Outdoor Recreation Acreage,2552
Jackson County,2014,State Outdoor Recreation Acreage,465
Polk County,2014,Local Outdoor Recreation Acreage,95
Bertie County,2014,Federal Outdoor Recreation Acreage,20960
Richmond County,2014,Local Outdoor Recreation Acreage,102
Carteret County,2014,State Outdoor Recreation Acreage,11170
Yancey County,2014,Local Outdoor Recreation Acreage,64
Granville County,2014,State Outdoor Recreation Acreage,7391
Perquimans County,2014,Local Outdoor Recreation Acreage,26
Cherokee County,2014,Federal Outdoor Recreation Acreage,93171
Nash County,2014,Local Outdoor Recreation Acreage,417
Northampton County,2014,State Outdoor Recreation Acreage,6597
Vance County,2014,Local Outdoor Recreation Acreage,214
Mecklenburg County,2014,State Outdoor Recreation Acreage,23
Martin County,2014,Local Outdoor Recreation Acreage,115
Mecklenburg County,2014,Local Outdoor Recreation Acreage,23151
Harnett County,2014,Federal Outdoor Recreation Acreage,15392
Henderson County,2014,State Outdoor Recreation Acreage,8397
Onslow County,2014,Local Outdoor Recreation Acreage,1249
Union County,2014,State Outdoor Recreation Acreage,60
Guilford County,2014,State Outdoor Recreation Acreage,975
Clay County,2014,Local Outdoor Recreation Acreage,49
Avery County,2014,State Outdoor Recreation Acreage,4791
Burke County,2014,Local Outdoor Recreation Acreage,838
Carteret County,2014,Federal Outdoor Recreation Acreage,116927
Currituck County,2014,Federal Outdoor Recreation Acreage,10975
Gaston County,2014,Local Outdoor Recreation Acreage,1817
Wayne County,2014,Local Outdoor Recreation Acreage,373
Pitt County,2014,Federal Outdoor Recreation Acreage,2711
Rutherford County,2014,Local Outdoor Recreation Acreage,562
Onslow County,2014,Federal Outdoor Recreation Acreage,126288
Catawba County,2014,Federal Outdoor Recreation Acreage,0
Hoke County,2014,Local Outdoor Recreation Acreage,530
Macon County,2014,State Outdoor Recreation Acreage,1219
Lenoir County,2014,Local Outdoor Recreation Acreage,308
Person County,2014,Federal Outdoor Recreation Acreage,0
Vance County,2014,State Outdoor Recreation Acreage,0
Davie County,2014,Local Outdoor Recreation Acreage,153
Jackson County,2014,Federal Outdoor Recreation Acreage,82848
Stanly County,2014,State Outdoor Recreation Acreage,4482
Cabarrus County,2014,Local Outdoor Recreation Acreage,861
Chowan County,2014,State Outdoor Recreation Acreage,488
Lenoir County,2014,State Outdoor Recreation Acreage,1852
Clay County,2014,State Outdoor Recreation Acreage,0
Chatham County,2014,Local Outdoor Recreation Acreage,480
Chowan County,2014,Local Outdoor Recreation Acreage,68
Alleghany County,2014,Local Outdoor Recreation Acreage,74
Hertford County,2014,Local Outdoor Recreation Acreage,231
Person County,2014,State Outdoor Recreation Acreage,0
Cumberland County,2014,Local Outdoor Recreation Acreage,1179
Johnston County,2014,Local Outdoor Recreation Acreage,389
Polk County,2014,Federal Outdoor Recreation Acreage,0
Pasquotank County,2014,Local Outdoor Recreation Acreage,338
Gaston County,2014,Federal Outdoor Recreation Acreage,0
Hyde County,2014,State Outdoor Recreation Acreage,38127
Watauga County,2014,Local Outdoor Recreation Acreage,149
Franklin County,2014,State Outdoor Recreation Acreage,2065
Stokes County,2014,Local Outdoor Recreation Acreage,182
Currituck County,2014,State Outdoor Recreation Acreage,17439
Jones County,2014,State Outdoor Recreation Acreage,495
Moore County,2014,Federal Outdoor Recreation Acreage,3565
Sampson County,2014,State Outdoor Recreation Acreage,7569
Caswell County,2014,Federal Outdoor Recreation Acreage,0
Jones County,2014,Local Outdoor Recreation Acreage,7
Wayne County,2014,Federal Outdoor Recreation Acreage,3186
Orange County,2014,Federal Outdoor Recreation Acreage,96
Iredell County,2014,State Outdoor Recreation Acreage,2156
Wilkes County,2014,State Outdoor Recreation Acreage,19504
Buncombe County,2014,State Outdoor Recreation Acreage,2237
