"PopulationName","extinct","extinctup","extinctlow","GMU"
"Abel",0.175760119380713,0.184108375303115,0.16942128334266,"Eastern Lahontan Basin"
"Andorno",0.285534415221041,0.292141857862339,0.278743238201828,"Northwest Lahontan Basin"
"Bartlett",1,1,0.999896940869241,"Northwest Lahontan Basin"
"Battle_NF",0.088388360380526,0.0916018466703973,0.0856360753590748,"Northwest Lahontan Basin"
"Big&Big_NF",1,1,1,"Northwest Lahontan Basin"
"Big&CorralCyn",0.997519119567245,0.998286700242492,0.99648339861966,"Eastern Lahontan Basin"
"Birch",0.197155381458683,0.204128893863085,0.190736802835292,"Eastern Lahontan Basin"
"Boone",0.997976123857489,0.999096717030405,0.996651277746689,"Eastern Lahontan Basin"
"Bottle",0.999169930983026,0.999627867935087,0.998563700802089,"Northwest Lahontan Basin"
"Boulder_1st&2nd_dwn&WF",0.52774668905055,0.540563327737362,0.520404775228502,"Eastern Lahontan Basin"
"Boulder_2nd_up",0.461891438164521,0.482871665734005,0.449293975004663,"Eastern Lahontan Basin"
"Boulder_4th",0.220872971460548,0.23363971274016,0.213580488714792,"Eastern Lahontan Basin"
"Boulder_EF&Boulder_3rd",0.999888080581981,1,0.999729061742212,"Eastern Lahontan Basin"
"BoxCanyon_aka_Stoddard",0.999030031710502,0.999468849095318,0.998367375489647,"Eastern Lahontan Basin"
"Brown",0.998638313747435,0.999207703786607,0.997612385748927,"Eastern Lahontan Basin"
"BuffaloCanyon",0.95554933781011,0.957104085058758,0.952936019399366,"Northwest Lahontan Basin"
"CA_ByDay",0.421619100914009,0.430415500839396,0.412741559410558,"Western Lahontan Basin"
"CA_Mill_dwn",0.33180376795374,0.339702014549524,0.324392370826338,"Western Lahontan Basin"
"CA_Mill_up",0.354737922029472,0.364279985077411,0.347169371385935,"Western Lahontan Basin"
"CA_Murphy",0.394795747062115,0.401534228688677,0.388204159671703,"Western Lahontan Basin"
"CA_Pole",0.168886401790711,0.178056332773736,0.162632437977989,"Western Lahontan Basin"
"CA_SageHen",1,1,1,"Western Lahontan Basin"
"CA_Silver_up",0.330656593919045,0.340603432195486,0.322595131505316,"Western Lahontan Basin"
"CA_Slinkard",0.999720201454952,0.999879220294721,0.999542529378847,"Western Lahontan Basin"
"CA_Slinkard_dwn",0.999123297892184,0.999384443200895,0.99841354224958,"Western Lahontan Basin"
"CA_UpperTruckee_up",0.551688117888454,0.560381458683082,0.543988061928745,"Western Lahontan Basin"
"CA_Wolf_dwn",0.227560156687185,0.238178977802649,0.219019772430517,"Western Lahontan Basin"
"CA_Wolf_up",0.323521731020332,0.334761704905801,0.316040384256669,"Western Lahontan Basin"
"Cabin&DJ&Lye&Martin&Deep&RoundCorral&Alkali",0.999906733818318,0.999981346763663,0.999747714978549,"Eastern Lahontan Basin"
"Cabin_up",0.992893116955792,0.993736243238202,0.991802835291923,"Eastern Lahontan Basin"
"California",0.993853758627122,0.994553254989741,0.992846017534042,"Eastern Lahontan Basin"
"Canyon&Canyon_SF",1,1,1,"Northwest Lahontan Basin"
"Carville",0.932997575079276,0.936440496176086,0.930085804887148,"Eastern Lahontan Basin"
"Clear_RRD",0.998638313747435,0.999095784368588,0.997509326618168,"Eastern Lahontan Basin"
"Cold_ColdNF",0.91611639619474,0.918521264689424,0.913434527140459,"Eastern Lahontan Basin"
"Cold_NF_up",0.379164335012125,0.397335851520239,0.367092893116956,"Eastern Lahontan Basin"
"Colman_up",0.14888080581981,0.155406640552136,0.142614251072561,"Northwest Lahontan Basin"
"Conrad_dwn&Talbot_dwn",0.735898153329603,0.743268513337064,0.730427625443014,"Eastern Lahontan Basin"
"Conrad_up",0.999272523782876,0.999786886774855,0.999001585525089,"Eastern Lahontan Basin"
"Cottonwood&Indian_QRD",0.996782316731953,0.997640831934341,0.995942454765902,"Northwest Lahontan Basin"
"Cottonwood_RRD",0.321143443387428,0.331526767394143,0.313287632904309,"Eastern Lahontan Basin"
"Cottonwood_SFHRD",0.999972020145495,1,0.999747714978549,"Eastern Lahontan Basin"
"Coyote",0.138994590561462,0.148465304980414,0.131531430703227,"Eastern Lahontan Basin"
"CraneCanyon",0.219175526953927,0.229679630665921,0.209188117888454,"Eastern Lahontan Basin"
"CraneCanyon_dwn",1,1,1,"Eastern Lahontan Basin"
"Crowley",0.454075732139526,0.461151837343779,0.447540104458124,"Northwest Lahontan Basin"
"Currant",0.304336877448237,0.309691288938631,0.30031150904682,"Eastern Lahontan Basin"
"Currant_up",0.999738854691289,0.999879220294721,0.999355997015482,"Eastern Lahontan Basin"
"Dixie",0.318979667972393,0.323905055027047,0.313555306845738,"Eastern Lahontan Basin"
"Donnelly",0.999141951128521,0.999777093825779,0.998535254616676,"Northwest Lahontan Basin"
"Dorsey",0.88388360380526,0.886740346950196,0.881026394329416,"Eastern Lahontan Basin"
"Draw_AboveBarrier",0.642613318410744,0.654331747808245,0.631597649692222,"Eastern Lahontan Basin"
"EchoCanyon_dwn",0.999365789964559,0.999879220294721,0.998852359634397,"Eastern Lahontan Basin"
"EchoCanyon_up",0.99909531803768,0.999543462040664,0.998740440216378,"Eastern Lahontan Basin"
"Edwards",0.056248834172729,0.0594203506808431,0.0531225517627308,"Out of Basin"
"Eightmile",0.938817384816266,0.944362991979108,0.933642977056519,"Northwest Lahontan Basin"
"EMR&MRBC&CC&QC&Cutt&Short&WillBas",0.0145215444879687,0.0158109494497295,0.013172449169931,"Eastern Lahontan Basin"
"FallsCanyon",0.981328110427159,0.982513989927252,0.979885282596531,"Northwest Lahontan Basin"
"Flat",1,1,1,"Northwest Lahontan Basin"
"Foreman",0.110464465584779,0.114437138593546,0.106157899645589,"Eastern Lahontan Basin"
"Frazer",0.299972020145495,0.309105110986756,0.292281757134863,"Eastern Lahontan Basin"
"Furlong_N",0.361117328856557,0.371528166386868,0.350669184853572,"Eastern Lahontan Basin"
"Gance_RdCny_Warm",0.141596717030405,0.146918485357209,0.134845644469315,"Eastern Lahontan Basin"
"Gardner",0.99925387054654,0.99957097556426,0.99845178138407,"Eastern Lahontan Basin"
"Gennette",0.192622645028913,0.199271124790151,0.186612105950382,"Eastern Lahontan Basin"
"GreenMtn_Main_SF",1,1,1,"Eastern Lahontan Basin"
"GreenMtn_NF",0.422094758440589,0.431341634023503,0.413842100354411,"Eastern Lahontan Basin"
"Greys",0.999347136728222,0.999608282036933,0.999057545234098,"Eastern Lahontan Basin"
"Hanks&Conners",0.68062861406454,0.687939750046633,0.674112572281291,"Eastern Lahontan Basin"
"Happy",1,1,0.999794814400299,"Northwest Lahontan Basin"
"HorseCanyon",0.998153329602686,0.99880712553628,0.997713579556053,"Northwest Lahontan Basin"
"House",1,1,1,"Northwest Lahontan Basin"
"Humboldt_NF&ColeCyn",0.326953926506249,0.336038985263943,0.318635982092893,"Eastern Lahontan Basin"
"Illinois",0.999682894982279,0.999850774109308,0.999467916433501,"Eastern Lahontan Basin"
"Indian",0.205465398246596,0.21560809550457,0.197812441708636,"Eastern Lahontan Basin"
