Date,Year,DayofYear,Time,Latitude_DD,Longitude_DD,WaterTemp,Salinity,DO,DO %,AirTemp
5/11/05,2005,131,9:00,25.405,-80.968,26.8,18.5,2.71,41.2,-9999
5/11/05,2005,131,11:55,25.411,-80.963,26.8,18.4,3.26,45.5,-9999
5/11/05,2005,131,14:42,25.217,-80.923,26.8,23.3,4.52,64.8,-9999
5/17/05,2005,137,8:23,25.452,-80.928,26.7,10.4,1.14,14.2,-9999
5/17/05,2005,137,10:28,25.439,-80.957,26.6,16.1,4.05,55.2,-9999
5/17/05,2005,137,12:45,25.238,-80.303,27.1,15.5,3.91,51.8,-9999
5/26/05,2005,146,9:00,25.411,-80.964,29.6,20.8,2.52,35.7,-9999
6/14/05,2005,195,8:46,25.44,-80.955,28.6,0.2,2.67,33.5,-9999
7/21/05,2005,202,14:16,25.378,-81.031,31.4,18,4,64.3,-9999
10/13/05,2005,286,9:30,25.411,-80.965,29.1,0.3,2.04,27.2,-9999
10/13/05,2005,286,12:18,25.372,-81.042,29.8,6.2,3.02,41.2,-9999
11/17/05,2005,321,9:00,25.375,-81.045,24.7,4.6,3.23,40,-9999
11/17/05,2005,321,11:25,25.361,-81.064,24.9,7,2.87,36.5,-9999
11/17/05,2005,321,13:24,25.354,-81.067,25.7,18.4,5.09,69,-9999
2/15/06,2006,46,7:43,25.378,-81.031,17.3,9.3,6.25,69.1,-9999
2/15/06,2006,46,9:40,25.382,-81.022,17.3,2.4,6.47,66.7,-9999
2/15/06,2006,46,11:13,25.364,-81.06,18.3,12.1,6.72,77,-9999
2/15/06,2006,46,12:57,25.372,-81.044,18.2,7.1,6.12,68.2,-9999
3/8/06,2006,67,7:58,25.41,-80.965,21.3,1.5,6.55,74.7,-9999
3/8/06,2006,67,11:12,25.411,-80.965,22.9,1.3,6.35,76.2,-9999
4/19/06,2006,109,8:44,25.38,-81.028,26.1,27.7,4.27,60.9,-9999
4/19/06,2006,109,10:38,25.379,-81.029,26.9,26.3,4.46,67.2,-9999
4/19/06,2006,109,13:10,25.379,-81.029,27.3,25.3,5.27,75.5,-9999
4/26/06,2006,116,8:43,25.378,-81.031,28.8,25.5,4.37,69.5,-9999
4/26/06,2006,116,11:16,25.41,-80.965,29,13.7,5.05,70.8,-9999
4/26/06,2006,116,13:16,25.411,-80.966,29.4,14,3.46,48.4,-9999
4/26/06,2006,116,15:01,25.408,-80.967,29.4,14,3.46,-9999,-9999
4/27/06,2006,117,8:27,25.435,-80.957,28.4,10.7,4.2,56.1,-9999
4/27/06,2006,117,10:30,25.431,-80.956,28.9,9.9,4.63,64.5,-9999
4/27/06,2006,117,12:52,25.411,-80.964,29.6,13.7,4.26,57.9,-9999
4/27/06,2006,117,14:43,25.403,-80.968,30,14.3,4.38,61.8,-9999
5/10/06,2006,130,10:19,25.457,-80.876,27.9,3.5,3.79,50.5,-9999
5/10/06,2006,130,12:35,25.452,-80.885,29,4.4,4.78,63.3,-9999
5/10/06,2006,130,14:56,25.443,-80.902,29.6,8.7,3.95,55.5,-9999
5/10/06,2006,130,17:24,25.443,-80.902,29.9,9.3,3.91,53.5,-9999
8/23/06,2006,235,8:05,25.434,-80.958,28,0.4,2.98,-9999,-9999
8/23/06,2006,235,11:28,25.435,-80.959,28,0.3,2.98,38.2,-9999
8/23/06,2006,235,13:41,25.379,-81.029,29.6,5.9,3.05,41.9,-9999
8/23/06,2006,235,15:56,25.362,-81.064,30.5,20.7,3.31,50,-9999
9/28/06,2006,271,8:10,25.357,-81.109,30.3,23.8,4.75,71.1,-9999
9/28/06,2006,271,11:07,25.355,-81.106,30.1,18.4,3.65,53.5,-9999
9/28/06,2006,271,13:42,25.357,-81.11,30,17.2,2.93,42.8,-9999
9/28/06,2006,271,15:44,25.359,-81.116,30,18.3,2.88,41.9,-9999
10/5/06,2006,278,8:06,25.379,-81.029,27.6,1.7,3.42,44.3,-9999
10/5/06,2006,278,10:14,25.381,-81.026,27.6,1.6,5.02,65.1,-9999
10/5/06,2006,278,13:12,25.379,-81.028,28.4,14.1,4.32,61.2,-9999
10/11/06,2006,284,8:20,25.409,-80.965,28.7,4.6,3.97,52.8,-9999
10/11/06,2006,284,10:52,25.41,-80.964,29.1,3.1,4.22,56.6,-9999
10/11/06,2006,284,13:55,25.41,-80.965,29.7,3.9,3.74,50.9,-9999
10/17/06,2006,290,9:10,25.447,-80.914,26,0.2,4.26,51,-9999
10/17/06,2006,290,11:00,25.447,-80.914,26.3,0.2,4.13,49.3,-9999
10/17/06,2006,290,12:26,25.447,-80.914,27.3,0.2,4.08,47,-9999
10/17/06,2006,290,14:17,25.441,-80.907,27.2,0.2,3.33,41.7,-9999
10/17/06,2006,290,15:45,25.441,-80.907,27.4,0.2,3.26,41.4,-9999
10/18/06,2006,291,8:12,25.434,-80.958,26,0.4,2.94,36.1,-9999
10/18/06,2006,291,10:45,25.433,-80.958,26.6,0.4,3.37,42.6,-9999
10/18/06,2006,291,12:20,25.433,-80.958,27.5,0.5,3.44,43.7,-9999
10/18/06,2006,291,14:15,25.433,-80.958,27.6,0.8,3.5,44,-9999
10/25/06,2006,298,7:59,25.41,-80.965,22.6,2,3.44,41.5,-9999
10/25/06,2006,298,9:36,25.409,-80.965,23.2,1.7,1.85,22.4,-9999
10/25/06,2006,298,10:57,25.409,-80.966,22.6,2,3.62,42.7,-9999
10/25/06,2006,298,12:12,25.409,-80.966,23.5,2,3.16,37.5,-9999
10/25/06,2006,298,13:41,25.409,-80.966,24.5,1.7,1.35,16.2,-9999
10/25/06,2006,298,15:12,25.409,-80.967,24.8,1.6,3.63,48.3,-9999
10/26/06,2006,299,8:19,25.378,-81.031,24.3,11.7,1.81,22.8,-9999
10/26/06,2006,299,9:45,25.378,-81.031,24.3,9,2.22,31,-9999
10/26/06,2006,299,11:12,25.378,-81.031,24.5,3.1,4.46,54.5,-9999
10/26/06,2006,299,12:52,25.378,-81.031,24.6,3.3,3.66,46.4,-9999
10/26/06,2006,299,14:25,25.378,-81.031,24.8,2.9,3.42,44.3,-9999
10/26/06,2006,299,16:08,25.349,-81.106,24.6,21.4,3.75,51.6,-9999
10/31/06,2006,304,8:15,25.441,-80.242,24.1,0.2,2.66,33.1,-9999
10/31/06,2006,304,9:45,25.441,-80.24,24.7,0.2,2.65,32.1,-9999
10/31/06,2006,304,11:30,25.438,-80.242,25.2,0.2,2.57,31.7,-9999
10/31/06,2006,304,13:12,25.437,-80.242,25.3,0.2,2.53,30.4,-9999
11/2/06,2006,306,8:05,25.447,-80.914,25.5,0.2,2.81,35.1,-9999
11/2/06,2006,306,9:48,25.435,-80.957,25.3,0.7,2.51,28.5,-9999
11/2/06,2006,306,11:19,25.435,-80.957,25.4,0.8,1.89,23.4,-9999
11/2/06,2006,306,13:10,25.435,-80.957,25.5,1,2.16,25.3,-9999
11/7/06,2006,311,7:48,25.435,-80.958,23.8,0.9,3.39,40.3,-9999
11/7/06,2006,311,10:25,25.41,-80.965,24.3,1.7,3.14,38.2,-9999
11/7/06,2006,311,12:27,25.41,-80.965,24.3,1.5,2.81,34.4,-9999
3/27/07,2007,86,9:01,25.441,-80.906,23.7,1,3.2,37.4,-9999
3/27/07,2007,86,11:07,25.441,-80.906,24.2,0.9,3.37,40.8,-9999
3/27/07,2007,86,13:19,25.438,-80.908,25.3,1.1,4.45,48.2,-9999
3/28/07,2007,87,8:28,25.434,-80.96,23.6,5.5,2.83,34.9,-9999
3/28/07,2007,87,10:40,25.432,-80.958,24.3,4.9,3.2,43.4,-9999
3/28/07,2007,87,12:36,25.409,-80.967,25,10.3,3.6,46.6,-9999
4/6/07,2007,96,7:57,25.348,-81.111,25.5,34.5,2.73,41.5,-9999
4/6/07,2007,96,10:34,25.348,-81.111,25.2,35,2.66,39.2,-9999
4/10/07,2007,100,8:32,25.461,-80.87,23,1.1,4.74,59.1,-9999
4/10/07,2007,100,10:47,25.457,-80.876,23.8,1.2,4.63,52.8,-9999
4/10/07,2007,100,12:53,25.457,-80.876,25.3,1.4,4.69,62.5,-9999
4/11/07,2007,101,7:58,25.379,-81.029,24.3,14.7,4.25,57.2,-9999
4/11/07,2007,101,10:12,25.379,-81.032,24.2,15.9,3.78,44.4,-9999
4/11/07,2007,101,12:16,25.381,-81.026,24.8,17.1,3.13,39.8,-9999
4/13/07,2007,103,8:22,25.451,-80.888,24,0.2,2.1,24.7,-9999
4/13/07,2007,103,10:21,25.451,-80.888,24,0.2,2.04,25,-9999
4/13/07,2007,103,12:11,25.444,-80.901,24.9,0.2,2.28,28,-9999
4/13/07,2007,103,14:39,25.442,-80.906,26.1,0.2,3.07,26.6,-9999
4/17/07,2007,107,8:02,25.434,-80.959,21.8,0.8,2.84,32.3,-9999
4/17/07,2007,107,9:56,25.434,-80.959,22.8,0.8,2.35,27.5,-9999
4/17/07,2007,107,11:57,25.434,-80.959,23.4,0.8,2.31,26.1,-9999
4/17/07,2007,107,13:59,25.434,-80.959,25.2,1.2,1.88,22.3,-9999
4/18/07,2007,108,7:51,25.41,-80.966,23,5.3,4.71,47.5,-9999
4/18/07,2007,108,9:25,25.41,-80.969,23.6,5.5,4.71,48.2,-9999
4/18/07,2007,108,10:55,25.409,-80.968,24.5,4.8,4.71,52.6,-9999
4/18/07,2007,108,12:23,25.411,-80.968,25.3,4,4.71,59,-9999
4/19/07,2007,109,7:54,25.35,-81.105,22.8,27.5,3.76,50.5,-9999
4/19/07,2007,109,10:10,25.35,-81.105,23.5,29.3,3.76,52.1,-9999
4/19/07,2007,109,13:01,25.346,-81.099,23.7,29.9,3.33,47,-9999
4/19/07,2007,109,14:51,25.345,-81.095,23.5,30.1,3.75,55,-9999
4/20/07,2007,110,8:18,25.379,-81.03,24,20.2,2.71,35.3,-9999
4/20/07,2007,110,10:29,25.379,-81.03,24.4,14.7,2.6,34,-9999
4/20/07,2007,110,12:10,25.379,-81.03,25.4,12.1,3.34,39.4,-9999
4/20/07,2007,110,13:57,25.379,-81.03,25.2,17.6,2.54,33.8,-9999
7/2/07,2007,183,8:19,25.411,-80.964,30.3,1.9,4.5,54,-9999
