PopID,PopulationName,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
5,Abel,,,,,,0.69,,,,,,,,0,0.1,0,0,0,0,0.08,,,,,,0.22,,,,0.13,,,
318,Abel&SHReconnect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Ackler,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Alles,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Alles&DeeringReconnect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Andorno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
264,Bartlett,,,,,,,0.07,,,,,0.04,,,,0.08,,,,,,,,,,,,,,,,,
65,Battle_NF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
150,Big&Big_NF,,,,,,,0.05,,,,,,,,,,,,,,,,,0.05,,,,,,,,,
320,Big&CorralCyn,,0.18,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
122,Birch,,0.03,,,,,,,,,,,,,,0,,,,,0,,,,,,0,,,,,,
151,Boone,,0.7,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,
312,Bottle,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Boulder_1st&2nd_dwn&WF,0.73,0.57,0.5,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,0.21,,
21,Boulder_2nd_up,,,0,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,0,,
74,Boulder_4th,0.28,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,
172,Boulder_EF&Boulder_3rd,0.95,0.11,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,0.26,,
328,BoulderEFWFReconnect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,BoxCanyon_aka_Stoddard,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Brown,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,
173,BuffaloCanyon,,,,0,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,
257,CA_Bodie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,CA_ByDay,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
