year,sitecode,section,reach,pass,unitnum,unittype,vert_index,pitnumber,species,length_1_mm,length_2_mm,weight_g,clip,sampledate,notes
2014,MACKCC-L,CC,L,1,1,C,21,18560276,Cutthroat trout,86,NA,6.17,NONE,2014-09-08,NA
2014,MACKCC-L,CC,L,1,1,C,31,19074446,Cutthroat trout,118,NA,16.79,NONE,2014-09-08,RECAP
2014,MACKCC-L,CC,L,1,2,SC,8,18574350,Cutthroat trout,100,NA,9.76,NONE,2014-09-08,NA
2014,MACKCC-L,CC,L,1,2,SC,27,19099583,Cutthroat trout,108,NA,14.64,NONE,2014-09-08,RECAP
2014,MACKCC-L,CC,L,1,3,C,16,18565629,Cutthroat trout,93,NA,8.81,NONE,2014-09-08,NA
2014,MACKCC-L,CC,L,1,3,C,18,19099587,Cutthroat trout,88,NA,6.61,NONE,2014-09-08,NA
2014,MACKCC-L,CC,L,1,3,C,29,19103209,Cutthroat trout,115,NA,14.03,NONE,2014-09-08,RECAP
2014,MACKCC-L,CC,L,1,3,C,33,18568925,Cutthroat trout,95,NA,8.47,NONE,2014-09-08,NA
2014,MACKCC-L,CC,L,1,3,C,44,18553418,Cutthroat trout,90,NA,7.18,NONE,2014-09-08,NA
2014,MACKCC-L,CC,L,1,3,C,45,18562096,Cutthroat trout,102,NA,10.16,NONE,2014-09-08,NA
2014,MACKCC-L,CC,L,1,3,C,54,19103901,Cutthroat trout,104,NA,11.85,NONE,2014-09-08,NA
2014,MACKCC-L,CC,L,2,2,SC,7,19052080,Cutthroat trout,92,NA,8.11,NONE,2014-09-08,NA
2014,MACKCC-M,CC,M,1,4,P,9,19072728,Cutthroat trout,93,NA,7.69,NONE,2014-09-09,NA
2014,MACKCC-M,CC,M,1,4,P,10,19071647,Cutthroat trout,108,NA,12.8,NONE,2014-09-09,NA
2014,MACKCC-M,CC,M,1,4,P,11,18554615,Cutthroat trout,114,NA,15.32,NONE,2014-09-09,RECAP
2014,MACKCC-M,CC,M,1,4,P,19,18560655,Cutthroat trout,117,NA,15.58,NONE,2014-09-09,NA
2014,MACKCC-M,CC,M,1,4,P,22,19100717,Cutthroat trout,87,NA,7.14,NONE,2014-09-09,NA
2014,MACKCC-M,CC,M,1,4,P,32,18568700,Cutthroat trout,135,NA,25.25,NONE,2014-09-09,RECAP
2014,MACKCC-M,CC,M,1,5,C,11,19096475,Cutthroat trout,86,NA,6.04,NONE,2014-09-09,NA
2014,MACKCC-M,CC,M,1,5,C,15,18562042,Cutthroat trout,114,NA,14.39,NONE,2014-09-09,NA
2014,MACKCC-M,CC,M,1,5,C,19,19080166,Cutthroat trout,106,NA,12.09,NONE,2014-09-09,NA
2014,MACKCC-M,CC,M,1,5,C,28,18567967,Cutthroat trout,134,NA,23.16,NONE,2014-09-09,RECAP
2014,MACKCC-M,CC,M,1,5,C,29,18571927,Cutthroat trout,93,NA,8.18,NONE,2014-09-09,NA
2014,MACKCC-M,CC,M,1,5,C,30,18571848,Cutthroat trout,92,NA,8.2,NONE,2014-09-09,NA
2014,MACKCC-M,CC,M,1,5,C,31,18574330,Cutthroat trout,92,NA,7.31,NONE,2014-09-09,NA
2014,MACKCC-M,CC,M,1,6,P,3,18570597,Cutthroat trout,116,NA,15.42,NONE,2014-09-09,NA
2014,MACKCC-M,CC,M,1,6,P,7,19098824,Cutthroat trout,113,NA,15.36,NONE,2014-09-09,RECAP
2014,MACKCC-M,CC,M,1,8,P,4,19098027,Cutthroat trout,146,NA,30.64,NONE,2014-09-09,RECAP
2014,MACKCC-M,CC,M,1,9,C,8,19055809,Cutthroat trout,118,NA,16.56,NONE,2014-09-09,NA
2014,MACKCC-M,CC,M,1,9,C,11,19097409,Cutthroat trout,89,NA,6.88,NONE,2014-09-09,NA
2014,MACKCC-M,CC,M,2,5,C,3,18576336,Cutthroat trout,95,NA,7.96,NONE,2014-09-09,NA
2014,MACKCC-U,CC,U,1,9,C,21,19057111,Cutthroat trout,97,NA,8.97,NONE,2014-09-09,NA
2014,MACKCC-U,CC,U,1,9,C,40,19093072,Cutthroat trout,114,NA,13.84,NONE,2014-09-09,RECAP
2014,MACKCC-U,CC,U,1,9,C,41,19060536,Cutthroat trout,89,NA,7.29,NONE,2014-09-09,NA
2014,MACKCC-U,CC,U,1,9,C,66,19061406,Cutthroat trout,106,NA,12.44,NONE,2014-09-09,NA
2014,MACKCC-U,CC,U,1,9,C,67,19055544,Cutthroat trout,105,NA,11.14,NONE,2014-09-09,NA
2014,MACKCC-U,CC,U,1,9,C,68,18576801,Cutthroat trout,86,NA,6.22,NONE,2014-09-09,NA
2014,MACKCC-U,CC,U,1,11,P,7,18560209,Cutthroat trout,91,NA,7.01,NONE,2014-09-09,NA
2014,MACKCC-U,CC,U,1,11,P,8,18564170,Cutthroat trout,103,NA,10.82,NONE,2014-09-09,NA
2014,MACKCC-U,CC,U,1,11,P,18,19055808,Cutthroat trout,112,NA,15.4,NONE,2014-09-09,RECAP
2014,MACKCC-U,CC,U,1,12,C,9,18570662,Cutthroat trout,91,NA,7.19,NONE,2014-09-09,NA
2014,MACKCC-U,CC,U,2,9,C,11,18565495,Cutthroat trout,127,NA,19.41,NONE,2014-09-09,RECAP
2014,MACKCC-U,CC,U,2,9,C,13,18566480,Cutthroat trout,87,NA,6.52,NONE,2014-09-09,NA
2014,MACKOG-L,OG,L,1,1,C,28,18560436,Cutthroat trout,127,NA,21.06,NONE,2014-09-10,RECAP
2014,MACKOG-L,OG,L,1,1,C,30,18576966,Cutthroat trout,90,NA,6.98,NONE,2014-09-10,NA
2014,MACKOG-L,OG,L,1,1,C,43,19100513,Cutthroat trout,117,NA,14.87,NONE,2014-09-10,NA
2014,MACKOG-L,OG,L,1,1,C,51,18563295,Cutthroat trout,95,NA,8.5,NONE,2014-09-10,NA
2014,MACKOG-L,OG,L,1,1,C,57,19072084,Cutthroat trout,113,NA,14.07,NONE,2014-09-10,RECAP
2014,MACKOG-L,OG,L,1,2,P,10,19092405,Cutthroat trout,95,NA,8.74,NONE,2014-09-10,NA
2014,MACKOG-L,OG,L,1,3,C,6,26178403,Cutthroat trout,138,NA,26.87,NONE,2014-09-10,RECAP
2014,MACKOG-L,OG,L,1,3,C,9,19103141,Cutthroat trout,104,NA,11.35,NONE,2014-09-10,NA
2014,MACKOG-L,OG,L,1,4,P,13,18576267,Cutthroat trout,115,NA,14.47,NONE,2014-09-10,RECAP
2014,MACKOG-L,OG,L,2,4,P,3,16395189,Cutthroat trout,156,NA,36.75,NONE,2014-09-10,RECAP
2014,MACKOG-M,OG,M,1,6,SC,4,18564213,Cutthroat trout,90,NA,7.33,NONE,2014-09-10,NA
2014,MACKOG-M,OG,M,1,6,SC,11,18576839,Cutthroat trout,94,NA,8.36,NONE,2014-09-10,NA
2014,MACKOG-M,OG,M,1,6,SC,33,18576902,Cutthroat trout,95,NA,8.7,NONE,2014-09-10,NA
2014,MACKOG-M,OG,M,1,7,P,9,19141797,Cutthroat trout,136,NA,22.78,NONE,2014-09-10,RECAP
2014,MACKOG-M,OG,M,1,8,P,8,18571888,Cutthroat trout,91,NA,7.05,NONE,2014-09-10,NA
2014,MACKOG-M,OG,M,1,8,P,9,19098748,Cutthroat trout,86,NA,6.35,NONE,2014-09-10,NA
2014,MACKOG-M,OG,M,1,8,P,15,18570565,Cutthroat trout,85,NA,5.86,NONE,2014-09-10,NA
2014,MACKOG-M,OG,M,1,10,C,24,18560640,Cutthroat trout,114,NA,13.69,NONE,2014-09-10,NA
2014,MACKOG-M,OG,M,1,10,C,35,18540801,Cutthroat trout,86,NA,6.03,NONE,2014-09-10,NA
2014,MACKOG-M,OG,M,1,10,C,48,19057178,Cutthroat trout,94,NA,8.02,NONE,2014-09-10,NA
2014,MACKOG-M,OG,M,1,10,C,50,18564219,Cutthroat trout,125,NA,19.46,NONE,2014-09-10,RECAP
2014,MACKOG-M,OG,M,1,10,C,55,18561866,Cutthroat trout,104,NA,11.14,NONE,2014-09-10,NA
2014,MACKOG-M,OG,M,2,5,C,3,16392183,Cutthroat trout,163,NA,45.55,NONE,2014-09-10,RECAP
2014,MACKOG-M,OG,M,2,10,C,7,18567991,Cutthroat trout,85,NA,5.8,NONE,2014-09-10,NA
2014,MACKOG-U,OG,U,1,11,P,7,19100437,Cutthroat trout,102,NA,9.72,NONE,2014-09-11,NA
2014,MACKOG-U,OG,U,1,11,P,19,19079931,Cutthroat trout,86,NA,6.44,NONE,2014-09-11,NA
2014,MACKOG-U,OG,U,1,11,P,20,19071098,Cutthroat trout,90,NA,6.93,NONE,2014-09-11,NA
2014,MACKOG-U,OG,U,1,13,C,9,19071155,Cutthroat trout,91,NA,7.1,NONE,2014-09-11,NA
